a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff,gg,hh,ii,jj,kk,ll,mm,nn,oo,pp,qq,rr,ss,tt,uu,vv,ww,xx,yy,zz,aaa,bbb,ccc,ddd,eee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,
,,,,,,,,,,,,,,,,,,,,,,PSALM 13 - WIE LANGE NOCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Barré auf dem II. Bund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,
K.,"Wie lange noch, o Herr, vergißt du mich in meiner Not",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K.,Daß mein Feind,,,,,,,,,,,,,,,,,,,,,,
,,,,,E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,
,und verhüllest ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nicht prahlt und sagt: ""Ich habe ihn besiegt!"",",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E7,,,,,,,,,,,,,,,,
,dein Angesicht vor mir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,und meine Gegner,,,,,,,,,,,,,,,,,,,,,,
,,,,,,E7,,,,,,,, a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,,,,,,
V.,"Ich singe dir, Herr, mein Gott,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sich freuen, wenn ich falle.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,E7,,,,,,,,,,,, a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ich singe dir, der du mein Retter bist.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V.,Ich singe dir ...,,,,,,,,,,,,,,,,,,,,,,
,,,,a,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,
K.,"Sieh her auf mich, erhöre mich, o Gott, verlaß mich nicht,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K.,"Ich aber ,  ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,E7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, E,,,,,,,,,,,,
,"Erleuchte meine Augen,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vertraue auf dein Erbarmen,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,E7,,,,,,,,,,,,,,
,damit ich nicht entschlaf im Tod.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,und über deine Hilfe,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,,,,,,,,
V.,Ich singe dir ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frohlockt in mir mein Herz.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"JAHWE, MEIN GOTT BIST DU  (Jes 25, 1-8 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Barré auf dem II. Bund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,a,,,,,,,,,,,,E7,,,,,,,,,,,,,,,,,,,,,,,,,, G,,,,,,,,,,,,
,,,,V.,,"Jahwe, mein Gott bist du,",,,,,,,,,,,,,,,,,,,,,,,,,,,,und die Tränen abwischen,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,a,,,,,,,,,2x,,,,,,,,,,,,,,,,, F,,,,,,,,,,,,,,,,
,,,,,,dich will ich erheben.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"von jedem Angesicht,",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,a,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,, E,,,,,,,,,,,,,,,,
,,,,K.,,"Deinen Namen will ich preisen,",,,,,,,,,,,,,,,,,,,,,,,,,,,,von jedem Angesicht.,,,,,,,,,,,,,,,,,,,,,,
