a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,aa,bb,cc,dd,ee,ff,gg,hh,ii,jj,kk,ll,mm,nn,oo,pp,qq,rr,ss,tt,uu,vv,ww,xx,yy,zz,aaa,bbb,ccc,ddd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,"PFINGSTSEQUENZ (KOMM, HEILIGER GEIST)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,V:,"Komm, heiliger Geist.",,,,,,,,,,,,,,,,,,,,,,,V:,"Komm, heiliger Geist ...",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,  E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sende dein helles Licht.,,,,,,,,,,,,,,,,,,,,,,,K:,"Wasche, was befleckt ist,",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,C,,,,,,,,,  F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,K:,"Komm, Vater der Armen,",,,,,,,,,,,,,,,,,,,,,,,,"tränke, was da dürre steht!",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,komm mit deinen Gaben!,,,,,,,,,,,,,,,,,,,,,,,,"Heile, was verwundet ist,",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,C,,,,,,,,,   F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Komm Licht der Herzen,",,,,,,,,,,,,,,,,,,,,,,,,"beuge, was verhärtet ist.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,  E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"komm, vollkommener Tröster.",,,,,,,,,,,,,,,,,,,,,,,V:,"Komm, heiliger Geist ...",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,V:,"Komm, heiliger Geist ...",,,,,,,,,,,,,,,,,,,,,,,K:,"Wärme, was erkaltet ist,",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,K:,"Süßer Gast der Seele,",,,,,,,,,,,,,,,,,,,,,,,,"lenke, was da irre geht.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Labsal voll Lieblichkeit.,,,,,,,,,,,,,,,,,,,,,,,,Schenke deinen Gläubigen,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Ruhe in Ermüdung,",,,,,,,,,,,,,,,,,,,,,,,,deine heiligen Gaben.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tröster im Weinen.,,,,,,,,,,,,,,,,,,,,,,,V:,"Komm, heiliger Geist ...",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,V:,"Komm, heiliger Geist ...",,,,,,,,,,,,,,,,,,,,,,,K:,"Schenke Tugend und Lohn,",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,K:,"O glückseliges Licht,",,,,,,,,,,,,,,,,,,,,,,,,schenke heiligen Tod!,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,erfülle unsere Herzen.,,,,,,,,,,,,,,,,,,,,,,,,Schenke ewige Freude!,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ohne deine Kraft,,,,,,,,,,,,,,,,,,,,,,,,Amen. Halleluja.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,gibt es nichts im Menschen.,,,,,,,,,,,,,,,,,,,,,,,V:,"Komm, heiliger Geist ...",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
